Transaction Hash: 0xc5b8d24702d23fc98e0904b0d8eda331a0f77975c65d9435079db682f07f5c49 --> Decoded data: 884,14889881,-36092623
Transaction Hash: 0xb8a08fd963428a1ad35261e116b5c25ac33aae87e3238b2120f0da54d96dbb1d --> Decoded data: 957,9366982,-34192559
Transaction Hash: 0x83329d61cb4d733319116fc97cf225b5ada673863b52f1a4fd2e7fe5c5a2517f --> Decoded data: 226,48257922,48733443
Transaction Hash: 0x4cb4a4a6f4ff0e40bb5a88388516fb19cbf22c7e9ad4ed4a85c72cbfc9f8cc90 --> Decoded data: 866,-33723308,167617949,1715976043
Transaction Hash: 0xae2d5999a65f311609a863f5d5e201aa76e62efd930b563ebec2cbcf5f6d5e58 --> Decoded data: 233,58303416,-45156791,1715976283
Transaction Hash: 0x3e71cad3740241070896cb81f37fe84bdda12fe9072a97155e9c7369e80880ec --> Decoded data: 201,49383783,-79272778,1716426808
Transaction Hash: 0xed454dd5bc7ea7c39792163747483216c7b14256f16f3bbd91e263552668ced2 --> Decoded data: 650,-30160788,5299533,1716429696
Transaction Hash: 0xf571406f459fcc8e413a3831c807950883d39a99cc51c01175d67fba15863b94 --> Decoded data: 985,8115469,139009920,1716488371
Transaction Hash: 0xf821f3e53647dccd627492229449d2063eddde06391b2726837e49b12518eb27 --> Decoded data: 843,-39777296,142199033,1716488491
Transaction Hash: 0xdd61e0d74b8c1ded113d06e2d377b03e97b99a50cced34ae721a54465f767b0f --> Decoded data: 539,46375798,-159619255,1716490312
Transaction Hash: 0x03c80eb418441d4686bbdec20c85dc4a67a269fafca481ef4f5455cfe282ada7 --> Decoded data: 632,-39193459,-41763267,1716490432
Transaction Hash: 0x9e65edd974489dbe5609757c44baf26cb91f908f8022b19299f290232b0d1b53 --> Decoded data: 117,-78288513,-17953282,1716490552
Transaction Hash: 0x0b9867e928393c39bd9297512b6d2d4145d0bad22756cd34434cd349a9bddccd --> Decoded data: 971,15156411,127618119,1717008971460
Transaction Hash: 0x2ef6604380b38e7d2c87786b49b6df75d04cfe7cda48f37dbc07eb1fbe92407d --> Decoded data: 798,76705920,76462897,1717009091476
Transaction Hash: 0x01c06cdb3c6d750ffa0a692e80a534758feac7c3ace27a9fcfbac446c563fc61 --> Decoded data: 470,54677816,1793068,Wed May 29 2024 16:03:54 GMT-0300 (Horário Padrão de Brasília)
Transaction Hash: 0xb5a0d5ceef6ccaf48562bb5178d2d2d1a8196f88ab7d51487a64d8b001fcf984 --> Decoded data: 168,83111111,31810705,Wed May 29 2024 16:05:54 GMT-0300 (Horário Padrão de Brasília)
